002;ABAIARA;2300101
003;ACARAPE;2300150
004;ACARAU;2300200
005;ACOPIARA;2300309
006;AIUABA;2300408
007;ALCANTARAS;2300507
008;ALTANEIRA;2300606
009;ALTO SANTO;2300705
010;AMONTADA;2300754
011;ANTONINA DO NORTE;2300804
012;APUIARES;2300903
013;AQUIRAZ;2301000
014;ARACATI;2301109
015;ARACOIABA;2301208
016;ARARIPE;2301307
017;ARATUBA;2301406
018;ARNEIROZ;2301505
019;ASSARE;2301604
020;AURORA;2301703
021;BAIXIO;2301802
022;BANABUIU;2301851
023;BARBALHA;2301901
024;BARREIRA;2301950
025;BARRO;2302008
026;BARROQUINHA;2302057
027;BATURITE;2302107
028;BEBERIBE;2302206
029;BELA CRUZ;2302305
030;BOA VIAGEM;2302404
031;BREJO SANTO;2302503
032;CAMOCIM;2302602
033;CAMPOS SALES;2302701
034;CANINDE;2302800
035;CAPISTRANO;2302909
036;CARIDADE;2303006
037;CARIRE;2303105
038;CARIRIACU;2303204
039;CARIUS;2303303
040;CARNAUBAL;2303402
041;CASCAVEL;2303501
042;CATARINA;2303600
043;CAUCAIA;2303709
044;CEDRO;2303808
045;CHAVAL;2303907
046;CHOROZINHO;2303956
047;COREAU;2304004
048;CRATEUS;2304103
049;CRATO;2304202
050;CROATA;2304236
051;CRUZ;2304251
052;DEPUTADO IRAPUAN PINHEIRO;2304269
053;ERERE;2304277
054;EUSEBIO;2304285
055;FARIAS BRITO;2304301
056;FORQUILHA;2304350
057;FORTALEZA;2304400
058;FRECHEIRINHA;2304509
059;GENERAL SAMPAIO;2304608
060;GRACA;2304657
061;GRANJA;2304707
062;GRANJEIRO;2304806
063;GROAIRAS;2304905
064;GUAIUBA;2304954
065;GUARACIABA DO NORTE;2305001
066;GUARAMIRANGA;2305100
067;HIDROLANDIA;2305209
068;HORIZONTE;2305233
069;IBARETAMA;2305266
070;IBIAPINA;2305308
071;IBICUITINGA;2305332
072;ICAPUI;2305357
073;ICO;2305407
074;IGUATU;2305506
075;INDEPENDENCIA;2305605
076;IPAPORANGA;2305654
077;IPAUMIRIM;2305704
078;IPU;2305803
079;IPUEIRAS;2305902
080;IRACEMA;2306009
081;IRAUCUBA;2306108
082;ITAICABA;2306207
083;ITAPAJE;2306306
084;ITAPIPOCA;2306405
085;ITAPIUNA;2306504
086;ITAREMA;2306553
087;ITATIRA;2306603
088;JAGUARETAMA;2306702
089;JAGUARIBARA;2306801
090;JAGUARIBE;2306900
091;JAGUARUANA;2307007
092;JARDIM;2307106
093;JATI;2307205
094;JUAZEIRO DO NORTE;2307304
095;JUCAS;2307403
096;LAVRAS DA MANGABEIRA;2307502
097;LIMOEIRO DO NORTE;2307601
098;MADALENA;2307635
099;MARACANAU;2307650
100;MARANGUAPE;2307700
101;MARCO;2307809
102;MARTINOPOLE;2307908
103;MASSAPE;2308005
104;MAURITI;2308104
105;MERUOCA;2308203
106;MILAGRES;2308302
107;MILHA;2308351
108;MIRAIMA;2308377
109;MISSAO VELHA;2308401
110;MUCAMBO;2309003
111;MOMBACA;2308500
112;MONSENHOR TABOSA;2308609
113;MORADA NOVA;2308708
114;MORAUJO;2308807
115;MORRINHOS;2308906
116;MULUNGU;2309102
117;NOVA OLINDA;2309201
118;NOVA RUSSAS;2309300
119;NOVO ORIENTE;2309409
120;OCARA;2309458
121;OROS;2309508
122;PACAJUS;2309607
123;PACATUBA;2309706
124;PACOTI;2309805
125;PACUJA;2309904
126;PALHANO;2310001
127;PALMACIA;2310100
128;PARACURU;2310209
129;PARAIPABA;2310258
130;PARAMBU;2310308
131;PARAMOTI;2310407
132;PEDRA BRANCA;2310506
133;PENAFORTE;2310605
134;PENTECOSTE;2310704
135;PEREIRO;2310803
136;PINDORETAMA;2310852
137;PIQUET CARNEIRO;2310902
138;PIRES FERREIRA;2310951
139;PORANGA;2311009
140;PORTEIRAS;2311108
141;POTENGI;2311207
142;POTIRETAMA;2311231
143;QUITERIANOPOLIS;2311264
144;QUIXADA;2311306
145;QUIXELO;2311355
146;QUIXERAMOBIM;2311405
147;QUIXERE;2311504
148;REDENCAO;2311603
149;RERIUTABA;2311702
150;RUSSAS;2311801
151;SABOEIRO;2311900
152;SALITRE;2311959
153;SANTANA DO ACARAU;2312007
154;SANTANA DO CARIRI;2312106
155;SANTA QUITERIA;2312205
156;SAO BENEDITO;2312304
157;SAO GONCALO DO AMARANTE;2312403
158;SAO JOAO DO JAGUARIBE;2312502
159;SAO LUIS DO CURU;2312601
160;SENADOR POMPEU;2312700
161;SENADOR SA;2312809
162;SOBRAL;2312908
163;SOLONOPOLE;2313005
164;TABULEIRO DO NORTE;2313104
165;TAMBORIL;2313203
166;TARRAFAS;2313252
167;TAUA;2313302
168;TEJUCUOCA;2313351
169;TIANGUA;2313401
170;TRAIRI;2313500
171;TURURU;2313559
172;UBAJARA;2313609
173;UMARI;2313708
174;UMIRIM;2313757
175;URUBURETAMA;2313807
176;URUOCA;2313906
177;VARJOTA;2313955
178;VARZEA ALEGRE;2314003
179;VICOSA DO CEARA;2314102
180;ARARENDA;2301257
181;CATUNDA;2303659
182;CHORO;2303931
183;FORTIM;2304459
184;ITAITINGA;2306256
185;JIJOCA DE JERICOACOARA;2307254